Fecha,Area_Sanitaria,Personas_Infectadas 
2020-04-06,"A.S. OURENSE, VERÍN E O BARCO","16"
2020-04-06,"A.S. PONTEVEDRA E O SALNÉS","7"
2020-04-06,"A.S. SANTIAGO E BARBANZA","22"
2020-04-06,"A.S. VIGO","31"
2020-04-06,"GALICIA","181"
2020-04-07,"A.S. A CORUÑA E CEE","27"
2020-04-07,"A.S. FERROL","9"
2020-04-07,"A.S. LUGO, A MARIÑA E MONFORTE","15"
2020-04-07,"A.S. OURENSE, VERÍN E O BARCO","78"
2020-04-07,"A.S. PONTEVEDRA E O SALNÉS","6"
2020-04-07,"A.S. SANTIAGO E BARBANZA","61"
2020-04-07,"A.S. VIGO","27"
2020-04-07,"GALICIA","223"
2020-04-08,"A.S. A CORUÑA E CEE","48"
2020-04-08,"A.S. FERROL","10"
2020-04-08,"A.S. LUGO, A MARIÑA E MONFORTE","9"
2020-04-08,"A.S. OURENSE, VERÍN E O BARCO","38"
2020-04-08,"A.S. PONTEVEDRA E O SALNÉS","26"
2020-04-08,"A.S. SANTIAGO E BARBANZA","38"
2020-04-08,"A.S. VIGO","43"
2020-04-08,"GALICIA","212"
2020-04-09,"A.S. A CORUÑA E CEE","30"
2020-04-09,"A.S. FERROL","1"
2020-04-09,"A.S. LUGO, A MARIÑA E MONFORTE","12"
2020-04-09,"A.S. OURENSE, VERÍN E O BARCO","51"
2020-04-09,"A.S. PONTEVEDRA E O SALNÉS","18"
2020-04-09,"A.S. SANTIAGO E BARBANZA","25"
2020-04-09,"A.S. VIGO","39"
2020-04-09,"GALICIA","176"
2020-04-10,"A.S. A CORUÑA E CEE","48"
2020-04-10,"A.S. FERROL","7"
2020-04-10,"A.S. LUGO, A MARIÑA E MONFORTE","29"
2020-04-10,"A.S. OURENSE, VERÍN E O BARCO","72"
2020-04-10,"A.S. PONTEVEDRA E O SALNÉS","12"
2020-04-10,"A.S. SANTIAGO E BARBANZA","11"
2020-04-10,"A.S. VIGO","30"
2020-04-10,"GALICIA","209"
2020-04-11,"A.S. A CORUÑA E CEE","68"
2020-04-11,"A.S. FERROL","4"
2020-04-11,"A.S. LUGO, A MARIÑA E MONFORTE","4"
2020-04-11,"A.S. OURENSE, VERÍN E O BARCO","32"
2020-04-11,"A.S. PONTEVEDRA E O SALNÉS","13"
2020-04-11,"A.S. SANTIAGO E BARBANZA","12"
2020-04-11,"A.S. VIGO","27"
2020-04-11,"GALICIA","160"
2020-04-12,"A.S. A CORUÑA E CEE","32"
2020-04-12,"A.S. FERROL","13"
2020-04-12,"A.S. LUGO, A MARIÑA E MONFORTE","3"
2020-04-12,"A.S. OURENSE, VERÍN E O BARCO","42"
2020-04-12,"A.S. PONTEVEDRA E O SALNÉS","12"
2020-04-12,"A.S. SANTIAGO E BARBANZA","10"
2020-04-12,"A.S. VIGO","15"
2020-04-12,"GALICIA","127"
2020-04-13,"A.S. A CORUÑA E CEE","21"
2020-04-13,"A.S. FERROL","2"
2020-04-13,"A.S. LUGO, A MARIÑA E MONFORTE","3"
2020-04-13,"A.S. OURENSE, VERÍN E O BARCO","10"
2020-04-13,"A.S. PONTEVEDRA E O SALNÉS","6"
2020-04-13,"A.S. SANTIAGO E BARBANZA","20"
2020-04-13,"A.S. VIGO","26"
2020-04-13,"GALICIA","88"
2020-04-14,"A.S. A CORUÑA E CEE","34"
2020-04-14,"A.S. FERROL","3"
2020-04-14,"A.S. LUGO, A MARIÑA E MONFORTE","3"
