Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-03 18:00:00,"A.S. A CORUÑA E CEE","30.445","17","356","29.511","16","2","506.154","147.861","592","179.919"
2021-06-03 18:00:00,"A.S. FERROL","8.636","3","114","8.299","7","1","145.279","60.866","217","15.039"
2021-06-03 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.927","11","250","12.456","8","2","247.940","133.481","216","39.379"
2021-06-03 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.753","17","168","15.168","7","1","257.084","130.088","418","69.774"
2021-06-03 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.305","10","232","13.892","14","2","237.831","91.000","181","77.692"
2021-06-03 18:00:00,"A.S. SANTIAGO E BARBANZA","20.021","12","358","19.313","21","3","362.934","143.929","363","92.710"
2021-06-03 18:00:00,"A.S. VIGO","25.107","20","574","24.104","10","4","512.036","265.670","437","66.337"
2021-06-03 18:00:00,"GALICIA","127.194","90","2.052","122.743","83","15","2.269.258","972.895","2.424","540.850"
2021-06-04 18:00:00,"A.S. A CORUÑA E CEE","30.470","25","342","29.549","13","2","507.171","150.028","593","180.311"
2021-06-04 18:00:00,"A.S. FERROL","8.638","0","108","8.307","6","1","145.445","60.897","217","15.112"
2021-06-04 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.946","18","245","12.480","8","2","248.944","134.062","216","39.556"
2021-06-04 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.762","9","159","15.186","7","0","257.926","130.158","418","70.047"
2021-06-04 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.316","7","222","13.913","13","2","238.578","91.343","181","78.155"
2021-06-04 18:00:00,"A.S. SANTIAGO E BARBANZA","20.031","12","335","19.345","16","2","363.341","144.045","364","93.007"
2021-06-04 18:00:00,"A.S. VIGO","25.137","30","534","24.174","8","4","513.334","266.219","437","66.670"
