"fecha","municipio","habitantes","casos_14d","casos_14d_min","casos_14d_max","IA14","IA14_min","IA14_max"
"2020-11-22","Cariño",3838,NA,1,9,NA,26.0552371026576,234.497133923919
"2020-11-22","Outeiro de Rei",5151,NA,1,9,NA,19.41370607649,174.72335468841
"2020-11-22","Arzúa",6041,NA,1,9,NA,16.553550736633,148.981956629697
"2020-11-22","Oza dos Ríos",5101,NA,1,9,NA,19.60399921584,176.43599294256
"2020-11-22","Bande",1528,NA,1,9,NA,65.4450261780105,589.005235602094
"2020-11-22","A Teixeira",316,NA,1,9,NA,316.455696202532,2848.10126582278
"2020-11-22","Xermade",1806,NA,1,9,NA,55.3709856035437,498.338870431894
"2020-11-22","Curtis",3983,NA,1,9,NA,25.1067034898318,225.960331408486
"2020-11-22","Pontedeume",7777,46,NA,NA,591.487720200592,NA,NA
"2020-11-22","Baiona",12122,14,NA,NA,115.492492987956,NA,NA
"2020-11-22","Castroverde",2617,NA,1,9,NA,38.2116927779901,343.905235001911
"2020-11-22","Catoira",3335,NA,NA,NA,NA,NA,NA
"2020-11-22","Xove",3273,11,NA,NA,336.083104185762,NA,NA
"2020-11-22","Paderne de Allariz",1384,NA,NA,NA,NA,NA,NA
"2020-11-22","Castro Caldelas",1224,NA,NA,NA,NA,NA,NA
"2020-11-22","Dumbría",2983,27,NA,NA,905.129064699966,NA,NA
"2020-11-22","Touro",3574,NA,1,9,NA,27.9798545047566,251.818690542809
"2020-11-22","Arbo",2580,NA,1,9,NA,38.7596899224806,348.837209302326
"2020-11-22","Lugo",98276,326,NA,NA,331.718832675323,NA,NA
"2020-11-22","A Illa de Arousa",4926,10,NA,NA,203.004466098254,NA,NA
"2020-11-22","Esgos",1116,NA,NA,NA,NA,NA,NA
"2020-11-22","Portomarín",1471,NA,NA,NA,NA,NA,NA
"2020-11-22","Arteixo",32262,72,NA,NA,223.172772921704,NA,NA
"2020-11-22","A Fonsagrada",3465,NA,1,9,NA,28.8600288600289,259.74025974026
"2020-11-22","Folgoso do Courel",1024,NA,NA,NA,NA,NA,NA
"2020-11-22","Calvos de Randín",770,NA,1,9,NA,129.87012987013,1168.83116883117
"2020-11-22","Muxía",4657,16,NA,NA,343.568821129483,NA,NA
"2020-11-22","Vilagarcía de Arousa",37456,61,NA,NA,162.857753096967,NA,NA
"2020-11-22","Guntín",2690,23,NA,NA,855.018587360595,NA,NA
"2020-11-22","Allariz",6188,NA,1,9,NA,16.1603102779573,145.442792501616
"2020-11-22","Quintela de Leirado",619,NA,NA,NA,NA,NA,NA
"2020-11-22","Negreira",6827,19,NA,NA,278.306723304526,NA,NA
"2020-11-22","Salvaterra de Miño",9819,38,NA,NA,387.004786638151,NA,NA
"2020-11-22","Poio",17082,55,NA,NA,321.97634937361,NA,NA
"2020-11-22","A Bola",1156,NA,NA,NA,NA,NA,NA
"2020-11-22","Melón",1184,NA,1,9,NA,84.4594594594595,760.135135135135
"2020-11-22","Sada",15841,18,NA,NA,113.629190076384,NA,NA
"2020-11-22","Barreiros",2934,NA,1,9,NA,34.0831629175187,306.748466257669
"2020-11-22","A Pobra de Trives",2067,NA,1,9,NA,48.3792936623125,435.413642960813
"2020-11-22","Soutomaior",7395,25,NA,NA,338.066260987153,NA,NA
"2020-11-22","O Pino",4641,NA,1,9,NA,21.5470803706098,193.923723335488
"2020-11-22","Palas de Rei",3388,NA,1,9,NA,29.5159386068477,265.643447461629
"2020-11-22","Taboadela",1429,NA,NA,NA,NA,NA,NA
"2020-11-22","A Arnoia",1000,NA,NA,NA,NA,NA,NA
"2020-11-22","A Coruña",245711,495,NA,NA,201.456182262902,NA,NA
"2020-11-22","Samos",1278,NA,1,9,NA,78.2472613458529,704.225352112676
"2020-11-22","Paderne",2394,10,NA,NA,417.710944026734,NA,NA
"2020-11-22","Xunqueira de Ambía",1375,NA,NA,NA,NA,NA,NA
"2020-11-22","Rairiz de Veiga",1266,NA,1,9,NA,78.9889415481832,710.900473933649
"2020-11-22","Val do Dubra",3876,NA,1,9,NA,25.7997936016512,232.198142414861
"2020-11-22","O Corgo",3481,11,NA,NA,316.001149095088,NA,NA
"2020-11-22","Coirós",1824,NA,1,9,NA,54.8245614035088,493.421052631579
"2020-11-22","Rábade",1501,NA,1,9,NA,66.6222518321119,599.600266489007
"2020-11-22","Sada",15841,18,NA,NA,113.629190076384,NA,NA
"2020-11-22","Boimorto",1985,NA,1,9,NA,50.3778337531486,453.400503778338
"2020-11-22","Mondariz-Balneario",644,NA,1,9,NA,155.27950310559,1397.51552795031
"2020-11-22","Cee",7546,19,NA,NA,251.789027299231,NA,NA
"2020-11-22","Celanova",5649,NA,1,9,NA,17.7022481855196,159.320233669676
"2020-11-22","Lobeira",798,NA,1,9,NA,125.31328320802,1127.81954887218
"2020-11-22","A Baña",3450,12,NA,NA,347.826086956522,NA,NA
"2020-11-22","Vilanova de Arousa",10302,28,NA,NA,271.79188507086,NA,NA
"2020-11-22","Sobrado",1758,NA,1,9,NA,56.8828213879408,511.945392491468
"2020-11-22","Monterroso",3616,23,NA,NA,636.061946902655,NA,NA
"2020-11-22","A Pobra do Brollón",1648,NA,1,9,NA,60.6796116504854,546.116504854369
"2020-11-22","Oleiros",36075,60,NA,NA,166.320166320166,NA,NA
