Fecha,Pontevedra.domicilio,Pontevedra.hospitalizados,Pontevedra.uci,Pontevedra.PCR.acum,Pontevedra.serologicas.acum,Pontevedra.antigeno.acum,Pontevedra.no_pdia.acum
2021-03-15,219,25,8,175172,88927,,
2021-03-16,208,22,7,175478,89456,,
2021-03-17,202,20,7,176256,89829,,
2021-03-18,194,18,7,176812,90279,,
2021-03-19,187,17,6,177497,90714,,
2021-03-20,194,16,4,177928,91011,,
2021-03-21,183,17,4,178238,91322,,
2021-03-22,190,18,5,178571,91616,,
2021-03-23,197,18,5,178915,92017,,
2021-03-24,192,17,4,179190,92497,,
2021-03-25,193,16,2,179665,92877,,
2021-03-26,195,20,3,180130,93327,,
2021-03-27,187,19,1,180998,93728,,
2021-03-28,190,19,1,181652,94008,,
2021-03-29,196,21,1,182427,94263,,
2021-03-30,198,20,1,182677,94737,,
2021-03-31,211,20,2,183058,95181,,
2021-04-01,207,22,1,184398,95566,,
2021-04-02,218,20,1,185539,95849,,
2021-04-03,210,20,1,185743,96213,,
2021-04-04,216,17,1,185900,96484,,
2021-04-05,230,16,1,186181,96807,,
2021-04-06,231,20,1,186479,97131,,
2021-04-07,243,23,1,186821,97592,,
2021-04-08,261,22,2,187312,98213,,
2021-04-09,267,22,2,188265,98769,,
2021-04-10,280,22,2,189361,99195,,
2021-04-11,295,20,3,190478,99510,,
2021-04-12,306,21,3,191679,99799,,
2021-04-13,333,24,3,192063,100264,,
2021-04-14,340,26,3,193316,100701,,
2021-04-15,349,26,4,194609,101156,,
2021-04-16,382,25,4,195887,101596,,
2021-04-17,388,29,6,196796,101988,,
2021-04-18,397,31,5,198060,102272,,
2021-04-19,416,32,5,199237,102606,,
2021-04-20,411,29,5,200130,103152,,
2021-04-21,422,30,6,201162,103632,,
2021-04-22,433,28,5,202202,104106,,
2021-04-23,441,25,5,203513,104557,,
2021-04-24,448,21,5,204925,104987,,
2021-04-25,457,24,5,205934,105298,,
2021-04-26,462,23,5,206207,105590,,
2021-04-27,431,27,5,207262,106103,,
2021-04-28,454,24,4,208572,106626,,
2021-04-29,475,24,3,209809,107078,,
2021-04-30,451,23,4,211091,107595,,
2021-05-01,452,25,5,212264,107985,,
2021-05-02,465,26,5,213486,108385,,
2021-05-03,462,29,5,213883,108718,,
2021-05-04,444,34,7,215171,109184,,
2021-05-05,445,28,8,216372,109720,,
2021-05-06,459,29,8,217518,110161,,
2021-05-07,462,30,8,218356,110615,,
2021-05-08,449,32,8,219902,111088,,
2021-05-09,454,34,8,221162,111436,,
2021-05-10,447,35,9,222569,111764,,
2021-05-11,445,36,9,223727,112313,,
2021-05-12,447,37,9,224288,112771,,
2021-05-13,440,34,8,225372,113185,,
2021-05-14,438,32,9,226066,113647,,
2021-05-15,429,29,9,227144,114076,,
2021-05-16,425,27,9,228030,114367,,
2021-05-17,397,29,9,229031,114704,,
2021-05-18,404,29,9,229877,115115,,
2021-05-19,385,27,7,230642,115586,,
2021-05-20,369,26,7,230924,116100,,
2021-05-21,343,20,7,231204,116505,,
2021-05-22,349,22,6,232151,116929,,
2021-05-23,324,19,5,232791,117266,,
2021-05-24,314,19,5,233061,117590,,
2021-05-25,307,18,4,233249,118042,,
2021-05-26,300,18,4,233618,118571,,
2021-05-27,295,15,4,233965,119016,,
2021-05-28,278,13,4,234255,,74951,89864
2021-05-29,278,12,4,234957,,75353,90076
2021-05-30,262,14,4,235408,,75661,90208
2021-05-31,255,15,4,235688,,75988,90210
2021-06-01,249,13,3,236111,,76420,90225
2021-06-02,233,15,2,236926,,76831,90311
2021-06-03,231,16,2,237656,,77264,90590
2021-06-04,216,16,2,237831,,77692,91000
2021-06-05,207,15,2,238578,,78155,91343
2021-06-06,197,15,2,239239,,78517,91420
2021-06-07,178,15,2,239839,,78866,91420
2021-06-08,178,15,1,240092,,79322,91429
2021-06-09,176,10,1,240933,,79781,91479
2021-06-10,163,8,1,241478,,80199,91574
2021-06-11,150,7,2,242113,,80621,91771
2021-06-12,140,8,2,242593,,81081,91910
2021-06-13,124,8,2,242908,,81398,91956
2021-06-14,120,7,2,243603,,81745,91956
2021-06-15,120,8,2,243869,,82093,91967
