Fecha,A_Coruña.casos.acum,A_Coruña.altas.acum,A_Coruña.fallecidos.acum,A_Coruña.confirmados_pcr_24h
2021-04-29,29495,28180,585,33
2021-04-30,29544,28228,585,45
2021-05-01,29577,28283,586,31
2021-05-02,29610,28327,586,29
2021-05-03,29639,28371,586,27
2021-05-04,29666,28406,586,25
2021-05-05,29697,28439,586,23
2021-05-06,29756,28481,586,50
2021-05-07,29805,28527,586,45
2021-05-08,29858,28582,586,51
2021-05-09,29887,28627,587,29
2021-05-10,29941,28658,587,51
2021-05-11,29958,28694,587,15
2021-05-12,29985,28709,587,23
2021-05-13,30009,28765,587,21
2021-05-14,30030,28803,588,19
2021-05-15,30055,28838,588,23
2021-05-16,30085,28882,588,32
2021-05-17,30113,28911,589,27
2021-05-18,30126,28944,590,14
2021-05-19,30155,28980,590,29
2021-05-20,30172,29027,590,21
2021-05-21,30198,29068,590,21
2021-05-22,30240,29108,590,40
2021-05-23,30275,29159,590,34
2021-05-24,30288,29191,590,10
2021-05-25,30299,29235,591,9
2021-05-26,30315,29255,591,14
2021-05-27,30326,29288,591,10
2021-05-28,30338,29315,591,12
2021-05-29,30351,29348,591,10
2021-05-30,30375,29380,591,26
2021-05-31,30384,29405,591,9
2021-06-01,30396,29451,592,13
2021-06-02,30413,29474,592,18
2021-06-03,30431,29496,592,18
2021-06-04,30445,29511,592,17
2021-06-05,30470,29549,593,25
2021-06-06,30491,29579,593,21
2021-06-07,30508,29605,593,17
2021-06-08,30536,29622,593,28
2021-06-09,30552,29642,593,15
2021-06-10,30580,29667,593,28
2021-06-11,30622,29682,593,43
2021-06-12,30645,29698,594,22
2021-06-13,30667,29716,594,22
2021-06-14,30701,29742,594,34
2021-06-15,30719,29756,594,18
2021-06-16,30750,29770,594,30
2021-06-17,30785,29796,594,38
2021-06-18,30818,29807,595,30
2021-06-19,30846,29853,597,26
2021-06-20,30889,29873,597,44
2021-06-21,30911,29889,598,23
2021-06-22,30943,29902,598,34
2021-06-23,30975,29928,598,32
2021-06-24,31004,29943,598,27
2021-06-25,31030,29962,599,27
2021-06-26,31065,29995,599,34
2021-06-27,31076,30021,599,11
2021-06-28,31119,30044,599,43
2021-06-29,31144,30060,600,25
2021-06-30,31178,30081,600,34
2021-07-01,31250,30121,600,70
2021-07-02,31309,30150,600,60
2021-07-03,31355,30173,600,52
2021-07-04,31401,30206,600,44
2021-07-05,31447,30235,600,46
2021-07-06,31483,30255,600,42
2021-07-07,31544,30289,601,58
2021-07-08,31630,30334,602,85
2021-07-09,31685,30353,602,56
2021-07-10,31792,30384,602,101
2021-07-11,31885,30415,602,92
2021-07-12,31990,30446,602,90
2021-07-13,32083,30469,602,94
2021-07-14,32180,30507,602,111
2021-07-15,32331,30552,603,149
2021-07-16,32522,30604,603,184
2021-07-17,32756,30651,603,232
2021-07-18,33007,30689,603,256
2021-07-19,33231,30745,603,210
2021-07-20,33450,30768,603,207
2021-07-21,33625,30823,603,188
2021-07-22,33859,30900,603,231
2021-07-23,34141,30962,603,271
2021-07-24,34424,31026,604,259
2021-07-25,34703,31128,604,298
2021-07-26,34913,31203,604,226
2021-07-27,35211,31298,604,276
2021-07-28,35523,31404,604,305
2021-07-29,35769,31527,604,257
2021-07-30,36025,31671,606,266
2021-07-31,36279,31860,607,240
2021-08-01,36571,32033,607,259
2021-08-02,36825,32230,608,234
2021-08-03,37097,32413,608,302
2021-08-04,37375,32638,609,293
2021-08-05,37688,32798,609,295
2021-08-06,38091,32984,610,395
2021-08-07,38392,33272,610,307
2021-08-08,38686,33521,610,302
2021-08-09,39002,33789,610,316
2021-08-10,39218,34025,610,218
2021-08-11,39428,34254,612,210
2021-08-12,39658,34558,614,229
2021-08-13,39945,34853,615,280
2021-08-14,40164,35106,617,217
2021-08-15,40361,35344,618,203
2021-08-16,40504,35572,618,146
2021-08-17,40626,35808,618,122
2021-08-18,40765,36133,620,144
2021-08-19,40938,36495,620,170
2021-08-20,41091,36839,621,151
2021-08-21,41242,37172,621,156
2021-08-22,41361,37462,622,114
2021-08-23,41462,37759,624,101
2021-08-24,41543,38005,625,85
2021-08-25,41660,38256,628,119
2021-08-26,41759,38538,629,98
2021-08-27,41875,38732,630,120
2021-08-28,41978,38977,634,102
2021-08-29,42068,39179,635,90
2021-08-30,42142,39346,635,74
2021-08-31,42214,39513,635,72
2021-09-01,42284,39672,636,70
2021-09-02,42354,39864,636,69
2021-09-03,42411,40029,637,61
2021-09-04,42468,40232,637,51
2021-09-05,42519,40380,640,50
2021-09-06,42563,40483,640,45
2021-09-07,42611,40585,643,50
2021-09-08,42627,40699,644,19
2021-09-09,42686,40832,646,61
2021-09-10,42766,41071,648,33
2021-09-11,42776,41071,649,38
2021-09-12,42816,41177,650,40
2021-09-13,42837,41264,650,21
2021-09-14,42860,41347,650,20
2021-09-15,42892,41434,651,26
2021-09-16,42917,41523,651,29
2021-09-17,42935,41614,651,15
2021-09-18,42948,41681,651,15
2021-09-19,42965,41753,654,17
2021-09-20,42973,41800,654,8
2021-09-21,42980,41838,654,6
2021-09-22,42986,41887,654,6
2021-09-23,42999,41936,654,13
2021-09-24,43007,41987,654,10
2021-09-25,43021,42044,654,14
2021-09-26,43023,42073,655,3
2021-09-27,43030,42115,655,6
2021-09-28,43034,42135,656,4
2021-09-29,43035,42152,656,3
2021-09-30,43042,42182,656,5
2021-10-01,43052,42204,656,11
2021-10-02,43067,42232,656,16
2021-10-03,43078,42249,656,12
2021-10-04,43084,42265,657,6
2021-10-05,43091,42272,657,8
2021-10-06,43098,42287,657,9
2021-10-07,43111,42311,657,13
2021-10-08,43123,42322,657,14
2021-10-09,43127,42335,657,4
2021-10-10,43137,42340,658,11
2021-10-11,43144,42346,658,7
2021-10-12,43153,42356,659,6
2021-10-13,43162,42367,660,9
2021-10-14,43165,42374,661,3
2021-10-15,43174,42377,661,8
2021-10-16,43179,42388,661,5
2021-10-17,43180,42395,661,1
2021-10-18,43185,42401,661,5
2021-10-19,43189,42405,661,5
2021-10-20,43199,42410,661,8
2021-10-21,43204,42422,661,4
2021-10-22,43210,42431,661,4
2021-10-23,43214,42439,661,3
2021-10-24,43224,42446,661,11
2021-10-25,43228,42454,661,4
2021-10-26,43232,42454,661,7
2021-10-27,43251,42465,661,17
2021-10-28,43257,42472,661,6
2021-10-29,43262,42479,661,9
2021-10-30,43273,42486,661,11
2021-10-31,43280,42494,661,7
2021-11-01,43289,42501,661,9
2021-11-02,43290,42509,661,1
2021-11-03,43302,42524,661,10
2021-11-04,43337,42541,661,31
2021-11-05,43349,42548,661,12
2021-11-06,43379,42554,661,29
2021-11-07,43403,42563,661,24
2021-11-08,43415,42576,661,12
2021-11-09,43429,42584,662,13
2021-11-10,43458,42589,662,31
2021-11-11,43484,42591,662,26
2021-11-12,43503,42600,662,20
2021-11-13,43525,42603,662,23
2021-11-14,43556,42613,662,32
2021-11-15,43579,42616,663,23
2021-11-16,43590,42627,663,11
2021-11-17,43627,42639,664,36
2021-11-18,43664,42650,664,38
2021-11-19,43703,42673,664,38
2021-11-20,43752,42691,664,50
2021-11-21,43786,42705,664,35
2021-11-22,43832,42732,664,46
