municipio,provincia,area_sanitaria
Campo Lameiro,Pontevedra,Pontevedra
Cangas,Pontevedra,Vigo
Cañiza, A,Pontevedra,Vigo
Catoira,Pontevedra,Pontevedra
Cerdedo-Cotobade,Pontevedra,Pontevedra
Covelo,Pontevedra,Vigo
Crecente,Pontevedra,Vigo
Cuntis,Pontevedra,Pontevedra
Dozón,Pontevedra,Santiago
Estrada, A,Pontevedra,Santiago
Forcarei,Pontevedra,Pontevedra
Fornelos de Montes,Pontevedra,Vigo
Gondomar,Pontevedra,Vigo
Grove, O,Pontevedra,Pontevedra
Guarda, A,Pontevedra,Vigo
Illa de Arousa, A,Pontevedra,Pontevedra
Lalín,Pontevedra,Santiago
Lama, A,Pontevedra,Pontevedra
Marín,Pontevedra,Pontevedra
Meaño,Pontevedra,Pontevedra
Meis,Pontevedra,Pontevedra
Moaña,Pontevedra,Vigo
Mondariz,Pontevedra,Vigo
Mondariz-Balneario,Pontevedra,Vigo
Moraña,Pontevedra,Pontevedra
Mos,Pontevedra,Vigo
Neves, As,Pontevedra,Vigo
Nigrán,Pontevedra,Vigo
Oia,Pontevedra,Vigo
Pazos de Borbén,Pontevedra,Vigo
Poio,Pontevedra,Pontevedra
Ponte Caldelas,Pontevedra,Pontevedra
Ponteareas,Pontevedra,Vigo
Pontecesures,Pontevedra,Santiago
Pontevedra,Pontevedra,Pontevedra
Porriño, O,Pontevedra,Vigo
Portas,Pontevedra,Pontevedra
Redondela,Pontevedra,Vigo
Ribadumia,Pontevedra,Pontevedra
Rodeiro,Pontevedra,Santiago
Rosal, O,Pontevedra,Vigo
Salceda de Caselas,Pontevedra,Vigo
Salvaterra de Miño,Pontevedra,Vigo
Sanxenxo,Pontevedra,Pontevedra
Silleda,Pontevedra,Santiago
Soutomaior,Pontevedra,Pontevedra
Tomiño,Pontevedra,Vigo
Tui,Pontevedra,Vigo
Valga,Pontevedra,Santiago
Vigo,Pontevedra,Vigo
Vila de Cruces,Pontevedra,Santiago
Vilaboa,Pontevedra,Pontevedra
Vilagarcía de Arousa,Pontevedra,Pontevedra
Vilanova de Arousa,Pontevedra,Pontevedra
